LAB_ID,LATITUDE,LONGITUDE,TYPE,NAME,ATTRIBUTE,GEOL_AGE,STRUCT_SRC,Strat Unit or Age at Total Depth,Series/System,Formation,Member,TOC %,S1 (mg HC/g rock),S2 (mg HC/g rock),S3 (mg CO2/g rock),Tmax (degC),HI ((S2/TOC)*100),OI ((S3/TOC)*100),S2/S3,(S1/TOC)*100,PI (S1/(S1+S2)),S1+S2,Calculated %Ro,Number of %Ro Readings,Total Sample %Ro,Number of Indigenous %Ro Readings,Indigenous %Ro (mean),%Ro Standard Deviation,%Ro Mean Corrected for Suppression,TAI Color,Thermal Alteration Index (TAI),Amorphous Debris %,Finely Disseminated Organic Matter %,Herbaceous Plant Debris %,Woody Plant Debris %,Coaly Fragments %,Algal Debris %,Palynomorphs %,Preservation in Source Material,Recovery from Source Material,Indigenous Vitrinite %,Caved Vitrinite %,Recycled/Oxidized Vitrinite %,Inertinite %,Solid Bitumen %,Amorphous Kerogen %,Kerogen Composition Comments,CAI Min,CAI Max ,CAI Field Number,USGS ID Number,Strat Unit Sampled for Mineralogy,Quartz %,Feldspar %,Carbonate %,Illite/Smectite %,Illite %,Kaolinite %,Chlorite %,Pyrite %,Other Minerals %,Total Clay %,LOI %,,,,,
,41.940166,-80.551704,,,,,,,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
